source,source_id,period,duration,depth,radius,eqt,insol,st_teff,st_logg,st_rad,ra,dec,label,label_raw,mission_code
,10797460,9.48803557,2.9575,616.0,2.26,793.0,93.59,5455.0,4.467,0.927,291.93423,48.141651,candidate,CANDIDATE,KEPLER
,10797460,54.4183827,4.507,875.0,2.83,443.0,9.11,5455.0,4.467,0.927,291.93423,48.141651,candidate,CANDIDATE,KEPLER
,10811496,19.89913995,1.7822,10800.0,14.6,638.0,39.3,5853.0,4.544,0.868,297.00482,48.134129,candidate,CANDIDATE,KEPLER
,10848459,1.736952453,2.40641,8080.0,33.46,1395.0,891.96,5805.0,4.564,0.791,285.53461,48.28521,false_positive,FALSE POSITIVE,KEPLER
,10854555,2.525591777,1.6545,603.0,2.75,1406.0,926.16,6031.0,4.438,1.046,288.75488,48.2262,candidate,CANDIDATE,KEPLER
,10872983,11.09432054,4.5945,1520.0,3.9,835.0,114.81,6046.0,4.486,0.972,296.28613,48.22467,candidate,CANDIDATE,KEPLER
,10872983,4.13443512,3.1402,686.0,2.77,1160.0,427.65,6046.0,4.486,0.972,296.28613,48.22467,candidate,CANDIDATE,KEPLER
,10872983,2.56658897,2.429,227.0,1.59,1360.0,807.74,6046.0,4.486,0.972,296.28613,48.22467,candidate,CANDIDATE,KEPLER
,6721123,7.36178958,5.022,234.0,39.21,1342.0,767.22,6227.0,3.986,1.958,298.86435,42.151569,false_positive,FALSE POSITIVE,KEPLER
,10910878,16.06864674,3.5347,4910.0,5.76,600.0,30.75,5031.0,4.485,0.848,286.99948,48.37579,candidate,CANDIDATE,KEPLER
,11446443,2.470613377,1.74319,14200.0,13.04,1339.0,761.46,5820.0,4.457,0.964,286.80847,49.316399,candidate,CANDIDATE,KEPLER
,10666592,2.204735417,3.88864,6670.0,16.1,2048.0,4148.92,6440.0,4.019,1.952,292.24728,47.969521,candidate,CANDIDATE,KEPLER
,6922244,3.522498429,3.19843,9150.0,14.59,1521.0,1264.67,6225.0,4.169,1.451,281.28812,42.45108,candidate,CANDIDATE,KEPLER
,10984090,3.709214104,2.6302,131.0,1.16,1206.0,500.46,5833.0,4.407,1.022,295.64871,48.49556,candidate,CANDIDATE,KEPLER
,10419211,11.52144606,3.6399,18000.0,150.51,753.0,75.88,5795.0,4.554,0.848,297.07993,47.597401,false_positive,FALSE POSITIVE,KEPLER
,10464078,19.40393776,12.2155,8920.0,7.18,523.0,17.69,5043.0,4.591,0.68,289.25821,47.635319,false_positive,FALSE POSITIVE,KEPLER
,10480982,19.22138894,4.79843,74300.0,49.29,698.0,55.97,6117.0,4.496,0.947,295.81454,47.69035,false_positive,FALSE POSITIVE,KEPLER
,10485250,16.46983774,9.4378,10500.0,7.94,595.0,29.61,5152.0,4.517,0.786,297.15442,47.668701,false_positive,FALSE POSITIVE,KEPLER
,10526549,9.27358173,3.2875,1290.0,2.47,649.0,41.85,4856.0,4.583,0.696,288.13824,47.724449,candidate,CANDIDATE,KEPLER
